wmpid,full_name,opponents,opponent_names
WMPID2518,Glenn Ivey,WMPID4471,Jeff Warner|Glenn Ivey
WMPID806,Steny H Hoyer,WMPID320,Chris Palombi|Steny H Hoyer
WMPID3989,David August,WMPID322|WMPID987,Neil Parrott|David August|David Trone
WMPID3063,David Wallace,WMPID805|WMPID3195|WMPID1735,Dutch Ruppersberger|Joe Kelley|Nicolee Ambrose|David Wallace
WMPID1944,Kevin Andres Garcia,WMPID326|WMPID986,Gregory Coll|Kevin Andres Garcia|Jamie Raskin
WMPID3545,Edwin Thelander,WMPID3404|WMPID1146,Edwin Thelander|Hollis Charles Chandler Inman|Chellie Pingree
WMPID3404,Hollis Charles Chandler Inman,WMPID3545|WMPID1146,Edwin Thelander|Hollis Charles Chandler Inman|Chellie Pingree
WMPID3457,Robert James Lorinser,WMPID5142|WMPID5124|WMPID988,Robert James Lorinser|Andrew Gale|Liz Hakola|John Bergman
WMPID5142,Andrew Gale,WMPID3457|WMPID5124|WMPID988,Robert James Lorinser|Andrew Gale|Liz Hakola|John Bergman
WMPID5124,Liz Hakola,WMPID3457|WMPID5142|WMPID988,Robert James Lorinser|Andrew Gale|Liz Hakola|John Bergman
WMPID5128,Nathan Hewer,WMPID894|WMPID2966,Nathan Hewer|John Moolenaar|Jerome Hilliard
WMPID4736,John Gibbs,WMPID338|WMPID5131|WMPID5126,Hillary Scholten|John Gibbs|Jamie Lewis|Louis Palus
WMPID5131,Jamie Lewis,WMPID338|WMPID4736|WMPID5126,Hillary Scholten|John Gibbs|Jamie Lewis|Louis Palus
WMPID5126,Louis Palus,WMPID338|WMPID4736|WMPID5131,Hillary Scholten|John Gibbs|Jamie Lewis|Louis Palus
WMPID1659,Joseph Alfonso,WMPID334|WMPID5097,Bill Huizenga|Joseph Alfonso|Lorence Raymond Wenke
WMPID5097,Lorence Raymond Wenke,WMPID334|WMPID1659,Bill Huizenga|Joseph Alfonso|Lorence Raymond Wenke
